codevalue,valuelabel
22.0208,"Health Law (LLM, MJ, JSD/SJD)"
22.0209,"International Law and Legal Studies (LLM, JSD/SJD)"
22.021,"International Business, Trade, and Tax Law (LLM, JSD/SJD)"
22.0211,"Tax Law/Taxation (LLM, JSD/SJD)"
22.0299,"Legal Research and Advanced Professional Studies, Other"
22.0301,Legal Administrative Assistant/Secretary
22.0302,Legal Assistant/Paralegal
22.0303,Court Reporting/Court Reporter
22.0399,"Legal Support Services, Other"
22.9999,"Legal Professions and Studies, Other"
23.0101,"English Language and Literature, General"
23.0401,English Composition
23.0501,Creative Writing
23.0701,American Literature (United States)
23.0801,English Literature (British and Commonwealth)
23.1001,Speech and Rhetorical Studies
23.1101,Technical and Business Writing
23.9999,"English Language and Literature/Letters, Other"
24.0101,Liberal Arts and Sciences/Liberal Studies
24.0102,General Studies
24.0103,Humanities/Humanistic Studies
24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other"
25.0101,Library Science/Librarianship
25.0301,Library Assistant/Technician
25.9999,"Library Science, Other"
26.0101,"Biology/Biological Sciences, General"
26.0102,"Biomedical Sciences, General"
26.0202,Biochemistry
26.0203,Biophysics
26.0204,Molecular Biology
26.0205,Molecular Biochemistry
26.0206,Molecular Biophysics
26.0207,Structural Biology
26.0209,Radiation Biology/Radiobiology
26.021,Biochemistry/Biophysics and Molecular Biology
26.0299,"Biochemistry, Biophysics and Molecular Biology, Other"
26.0301,Botany/Plant Biology
26.0305,Plant Pathology/Phytopathology
26.0307,Plant Physiology
26.0308,Plant Molecular Biology
26.0399,"Botany/Plant Biology, Other"
26.0401,Cell/Cellular Biology and Histology
26.0403,Anatomy
26.0404,Developmental Biology and Embryology
26.0405,Neuroanatomy
26.0406,Cell/Cellular and Molecular Biology
26.0407,Cell Biology and Anatomy
26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other"
26.0502,"Microbiology, General"
26.0503,Medical Microbiology and Bacteriology
26.0504,Virology
26.0505,Parasitology
26.0507,Immunology
26.0599,"Microbiological Sciences and Immunology, Other"
26.0701,Zoology/Animal Biology
26.0702,Entomology
26.0707,Animal Physiology
26.0708,Animal Behavior and Ethology
26.0709,Wildlife Biology
26.0799,"Zoology/Animal Biology, Other"
26.0801,"Genetics, General"
26.0802,Molecular Genetics
26.0804,Animal Genetics
26.0805,Plant Genetics
26.0806,Human/Medical Genetics
26.0899,"Genetics, Other"
26.0901,"Physiology, General"
26.0902,Molecular Physiology
26.0903,Cell Physiology
26.0904,Endocrinology
26.0905,Reproductive Biology
26.0906,Neurobiology and Neurophysiology
26.0907,Cardiovascular Science
26.0908,Exercise Physiology
26.0909,Vision Science/Physiological Optics
26.091,Pathology/Experimental Pathology
26.0911,Oncology and Cancer Biology
26.0999,"Physiology, Pathology, and Related Sciences, Other"
26.1001,Pharmacology
26.1002,Molecular Pharmacology
26.1003,Neuropharmacology
26.1004,Toxicology
26.1005,Molecular Toxicology
26.1006,Environmental Toxicology
26.1007,Pharmacology and Toxicology
26.1101,Biometry/Biometrics
26.1102,Biostatistics
26.1103,Bioinformatics
26.1199,"Biomathematics and Bioinformatics, Other"
26.1201,Biotechnology
26.1301,Ecology
26.1302,Marine Biology and Biological Oceanography
26.1303,Evolutionary Biology
26.1304,Aquatic Biology/Limnology
26.1305,Environmental Biology
26.1306,Population Biology
26.1307,Conservation Biology
26.1308,Systematic Biology/Biological Systematics
26.1309,Epidemiology
26.1399,"Ecology, Evolution, Systematics and Population Biology, Other"
26.9999,"Biological and Biomedical Sciences, Other"
27.0101,"Mathematics, General"
27.0103,Analysis and Functional Analysis
27.0199,"Mathematics, Other"
27.0301,Applied Mathematics
27.0303,Computational Mathematics
27.0399,"Applied Mathematics, Other"
27.0501,"Statistics, General"
27.0502,Mathematical Statistics and Probability
27.0599,"Statistics, Other"
27.9999,"Mathematics and Statistics, Other"
29.0101,Military Technologies
30.0101,Biological and Physical Sciences
30.0501,Peace Studies and Conflict Resolution
30.0601,Systems Science and Theory
30.0801,Mathematics and Computer Science
30.1001,Biopsychology
30.1101,Gerontology
30.1201,Historic Preservation and Conservation
30.1202,Cultural Resource Management and Policy Analysis
30.1299,"Historic Preservation and Conservation, Other"
30.1301,Medieval and Renaissance Studies
30.1401,Museology/Museum Studies
30.1501,"Science, Technology and Society"
30.1601,Accounting and Computer Science
30.1701,Behavioral Sciences
30.1801,Natural Sciences
30.1901,Nutrition Sciences
30.2001,International/Global Studies
30.2101,Holocaust and Related Studies
30.2201,Ancient Studies/Civilization
30.2202,Classical/Ancient Mediterranean/Near Eastern Studies & Archaeology
30.2301,Intercultural/Multicultural and Diversity Studies
30.2401,Neuroscience
30.2501,Cognitive Science
30.9999,"Multi-/Interdisciplinary Studies, Other"
31.0101,"Parks, Recreation and Leisure Studies"
31.0301,"Parks, Recreation and Leisure Facilities Management"
31.0501,"Health and Physical Education, General"
31.0504,Sport and Fitness Administration/Management
31.0505,Kinesiology and Exercise Science
31.0599,"Health and Physical Education/Fitness, Other"
31.9999,"Parks, Recreation, Leisure, and Fitness Studies, Other"
38.0101,Philosophy
38.0102,Logic
38.0103,Ethics
38.0199,"Philosophy, Other"
38.0201,Religion/Religious Studies
38.0202,Buddhist Studies
38.0203,Christian Studies
38.0205,Islamic Studies
38.0206,Jewish/Judaic Studies
38.0299,"Religion/Religious Studies, Other"
38.9999,"Philosophy and Religious Studies, Other"
39.0201,Bible/Biblical Studies
39.0301,Missions/Missionary Studies and Missiology
39.0401,Religious Education
39.0501,Religious/Sacred Music
39.0601,Theology/Theological Studies
39.0602,"Divinity/Ministry (BD, MDiv)"
39.0604,Pre-Theology/Pre-Ministerial Studies
39.0605,Rabbinical Studies (MHL/Rav)
39.0606,Talmudic Studies
39.0699,"Theological and Ministerial Studies, Other"
39.0701,Pastoral Studies/Counseling
39.0702,Youth Ministry
39.0799,"Pastoral Counseling and Specialized Ministries, Other"
39.9999,"Theology and Religious Vocations, Other"
40.0101,Physical Sciences
40.0201,Astronomy
40.0202,Astrophysics
40.0203,Planetary Astronomy and Science
40.0299,"Astronomy and Astrophysics, Other"
40.0401,"Atmospheric Sciences and Meteorology, General"
40.0403,Atmospheric Physics and Dynamics
40.0404,Meteorology
40.0499,"Atmospheric Sciences and Meteorology, Other"
40.0501,"Chemistry, General"
40.0502,Analytical Chemistry
40.0503,Inorganic Chemistry
40.0504,Organic Chemistry
40.0506,Physical and Theoretical Chemistry
40.0507,Polymer Chemistry
40.0508,Chemical Physics
40.0599,"Chemistry, Other"
40.0601,"Geology/Earth Science, General"
40.0602,Geochemistry
40.0603,Geophysics and Seismology
40.0604,Paleontology
40.0605,Hydrology and Water Resources Science
40.0607,"Oceanography, Chemical and Physical"
40.0699,"Geological and Earth Sciences/Geosciences, Other"
40.0801,"Physics, General"
40.0802,Atomic/Molecular Physics
40.0806,Nuclear Physics
40.0807,Optics/Optical Sciences
40.0808,Solid State and Low-Temperature Physics
40.0809,Acoustics
40.081,Theoretical and Mathematical Physics
40.0899,"Physics, Other"
40.9999,"Physical Sciences, Other"
41.0101,Biology Technician/Biotechnology Laboratory Technician
41.0204,Industrial Radiologic Technology/Technician
41.0205,Nuclear/Nuclear Power Technology/Technician
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other"
41.0301,Chemical Technology/Technician
41.0399,"Physical Science Technologies/Technicians, Other"
41.9999,"Science Technologies/Technicians, Other"
42.0101,"Psychology, General"
42.0201,Clinical Psychology
42.0301,Cognitive Psychology and Psycholinguistics
42.0401,Community Psychology
42.0501,Comparitive Psychology
42.0601,Counseling Psychology
42.0701,Developmental and Child Psychology
42.0801,Experimental Psychology
42.0901,Industrial and Organizational Psychology
42.1001,Personality Psychology
42.1101,Physiological Psychology/Psychobiology
42.1601,Social Psychology
42.1701,School Psychology
42.1801,Educational Psychology
42.1901,Psychometrics and Quantitative Psychology
42.2001,Clinical Child Psychology
42.2101,Environmental Psychology
42.2201,Geropsychology
42.2301,Health/Medical Psychology
42.2401,Psychopharmacology
42.2501,Family Psychology
42.2601,Forensic Psychology
42.9999,"Psychology, Other"
43.0102,Corrections
43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice/Safety Studies
43.0106,Forensic Science and Technology
43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services
43.011,Juvenile Corrections
43.0111,Criminalistics and Criminal Science
43.0112,Securities Services Administration/Management
43.0113,Corrections Administration
43.0199,"Corrections and Criminal Justice, Other"
43.0201,Fire Protection and Safety Technology/Technician
43.0202,Fire Services Administration
43.0203,Fire Science/Fire-fighting
43.0299,"Fire Protection, Other"
43.9999,"Security and Protective Services, Other"
44,"Human Services, General"
44.0201,Community Organization and Advocacy
44.0401,Public Administration
44.0501,Public Policy Analysis
44.0701,Social Work
44.0702,Youth Services/Administration
44.0799,"Social Work, Other"
44.9999,"Public Administration and Social Service Professions, Other"
45.0101,"Social Sciences, General"
45.0201,Anthropology
45.0202,Physical Anthropology
45.0299,"Anthropology, Other"
45.0301,Archeology
45.0401,Criminology
45.0501,Demography and Population Studies
45.0601,"Economics, General"
45.0602,Applied Economics
45.0603,Econometrics and Quantitative Economics
45.0604,Development Economics and International Development
45.0605,International Economics
45.0699,"Economics, Other"
45.0701,Geography
45.0702,Cartography
45.0799,"Geography, Other"
45.0901,International Relations and Affairs
45.1001,"Political Science and Government, General"
45.1002,American Government and Politics (United States)
45.1099,"Political Science and Government, Other"
45.1101,Sociology
45.1201,Urban Studies/Affairs
45.9999,"Social Sciences, Other"
46,"Construction Trades, General"
46.0101,Mason/Masonry
46.0201,Carpentry/Carpenter
46.0301,"Electrical and Power Transmission Installation/Installer, General"
46.0302,Electrician
46.0303,Lineworker
46.0399,"Electrical and Power Transmission Installers, Other"
46.0401,Building/Property Maintenance and Management
46.0402,Concrete Finishing/Concrete Finisher
46.0403,Building/Home/Construction Inspection/Inspector
46.0404,Drywall Installation/Drywaller
46.0406,Glazier
46.0408,Painting/Painter and Wall Coverer
46.041,Roofer
46.0411,Metal Building Assembly/Assembler
46.0412,Building/Construction Site Management/Manager
46.0499,"Building/Construction Finishing, Management, & Inspection, Other"
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter
46.0503,Plumbing Technology/Plumber
46.0504,Well Drilling/Driller
46.0505,Blasting/Blaster
46.0599,"Plumbing and Related Water Supply Services, Other"
46.9999,"Construction Trades, Other"
47,"Mechanics and Repairers, General"
47.0101,"Electrical/Electronics Equipment Installation and Repair, General"
47.0102,Business Machine Repair
47.0103,Communications Systems Installation and Repair Technology
47.0104,Computer Installation and Repair Technology/Technician
47.0105,Industrial Electronics Technology/Technician
47.0106,Appliance Installation and Repair Technology/Technician
47.011,"Security System Installation, Repair, and Inspection Technology/Technician"
47.0199,"Electrical/Electronics Maintenance and Repair Technology, Other"
47.0201,Heating/AC/Ventilation/Refrig Maint Technology/Technician
47.0302,Heavy Equipment Maintenance Technology/Technician
47.0303,Industrial Mechanics and Maintenance Technology
47.0399,"Heavy/Industrial Equipment Maintenance Technologies, Other"
47.0402,Gunsmithing/Gunsmith
47.0403,Locksmithing and Safe Repair
47.0404,Musical Instrument Fabrication and Repair
47.0408,Watchmaking and Jewelrymaking
47.0409,Parts & Warehousing Operations/Maintenance Technology/Technician
47.0499,"Precision Systems Maintenance and Repair Technologies, Other"
47.0603,Autobody/Collision and Repair Technology/Technician
47.0604,Automobile/Automotive Mechanics Technology/Technician
47.0605,Diesel Mechanics Technology/Technician
47.0606,Small Engine Mechanics and Repair Technology/Technician
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician
47.0608,Aircraft Powerplant Technology/Technician
47.0609,Avionics Maintenance Technology/Technician
47.0611,Motorcycle Maintenance and Repair Technology/Technician
47.0612,Vehicle Emissions Inspection/Maintenance Technology/Technician
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician
47.0614,Alternative Fuel Vehicle Technology/Technician
47.0615,Engine Machinist
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician
47.0699,"Vehicle Maintenance and Repair Technologies, Other"
47.9999,"Mechanic and Repair Technologies/Technicians, Other"
48,"Precision Production Trades, General"
48.0303,Upholstery/Upholsterer
48.0304,"Shoe, Boot and Leather Repair"
48.0501,Machine Tool Technology/Machinist
48.0503,Machine Shop Technology/Assistant
48.0506,Sheet Metal Technology/Sheetworking
48.0507,Tool and Die Technology/Technician
48.0508,Welding Technology/Welder
48.0509,Ironworking/Ironworker
48.0599,"Precision Metal Working, Other"
48.0701,"Woodworking, General"
48.0702,Furniture Design and Manufacturing
48.0703,Cabinetmaking and Millwork/Millwright
48.0799,"Woodworking, Other"
48.0801,Boilermaking/Boilermaker
48.9999,"Precision Production, Other"
49.0101,"Aeronautics/Aviation/Aerospace Science and Technology, General"
49.0102,Airline/Commercial/Professional Pilot and Flight Crew
49.0104,Aviation/Airway Management and Operations
49.0105,Air Traffic Controller
49.0106,Airline Flight Attendant
49.0108,Flight Instructor
49.0199,"Air Transportation, Other"
49.0202,Construction/Heavy Equipment/Earthmoving Equipment Operation
49.0205,Truck and Bus Driver/Commercial Vehicle Operation
49.0299,"Ground Transportation, Other"
49.0304,"Diver, Professional and Instructor"
49.0309,Marine Science/Merchant Marine Officer
49.0399,"Marine Transportation, Other"
49.9999,"Transportation and Materials Moving, Other"
50.0101,"Visual and Performing Arts, General"
50.0201,"Crafts/Craft Design, Folk Art and Artisanry"
50.0301,"Dance, General"
50.0302,Ballet
50.0399,"Dance, Other"
50.0401,"Design and Visual Communications, General"
50.0402,Commercial and Advertising Art
50.0404,Industrial Design
50.0406,Commercial Photography
50.0407,Fashion/Apparel Design
50.0408,Interior Design
50.0409,Graphic Design
50.041,Illustration
50.0499,"Design and Applied Arts, Other"
50.0501,"Drama and Dramatics/Theatre Arts, General"
50.0502,Technical Theatre/Theatre Design and Technology
50.0504,Playwriting and Screenwriting
50.0505,"Theatre Literature, History and Criticism"
50.0506,Acting
50.0507,Directing and Theatrical Production
50.0508,Theatre/Theatre Arts Management
50.0599,"Dramatic/Theatre Arts and Stagecraft, Other"
50.0601,Film/Cinema Studies
50.0602,Cinematography and Film/Video Production
50.0605,Photography
50.0699,"Film/Video and Photographic Arts, Other"
50.0701,"Art/Art Studies, General"
50.0702,"Fine/Studio Arts, General"
50.0703,"Art History, Criticism and Conservation"
50.0704,Arts Management
50.0705,Drawing
50.0706,Intermedia/Multimedia
50.0708,Painting
50.0709,Sculpture
50.071,Printmaking
50.0711,Ceramic Arts and Ceramics
50.0712,"Fiber, Textile and Weaving Arts"
50.0713,Metal and Jewelry Arts
50.0799,"Fine Arts and Art Studies, Other"
50.0901,"Music, General"
50.0902,"Music History, Literature, and Theory"
50.0903,"Music Performance, General"
50.0904,Music Theory and Composition
50.0905,Musicology and Ethnomusicology
50.0906,Conducting
50.0907,Piano and Organ
50.0908,Voice and Opera
50.0909,Music Management and Merchandising
50.091,Jazz/Jazz Studies
50.0911,"Violin, Viola, Guitar and Other Stringed Instruments"
50.0912,Music Pedagogy
50.0999,"Music, Other"
50.9999,"Visual and Performing Arts, Other"
51,"Health Services/Allied Health/Health Sciences, General"
51.0101,Chiropractic (DC)
51.0201,"Communication Disorders, General"
51.0202,Audiology/Audiologist and Hearing Sciences
51.0203,Speech-Language Pathology/Pathologist
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist
51.0299,"Communication Disorders Sciences and Services, Other"
51.0401,"Dentistry (DDS, DMD)"
51.0501,"Dental Clinical Sciences, General (MS, PhD)"
51.0502,"Advanced General Dentistry (Cert, MS, PhD)"
51.0503,"Oral Biology and Oral Pathology (MS, PhD)"
51.0504,"Dental Public Health and Education (Cert, MS/MPH, PhD/DPH)"
51.0505,"Dental Materials (MS, PhD)"
51.0506,"Endodontics/Endodontology (Cert, MS, PhD)"
51.0507,"Oral/Maxillofacial Surgery (Cert, MS, PhD)"
51.0508,"Orthodontics/Orthodontology (Cert, MS, PhD)"
51.0509,"Pediatric Dentistry/Pedodontics (Cert, MS, PhD)"
51.051,"Periodontics/Periodontology (Cert, MS, PhD)"
51.0511,"Prosthodontics/Prosthodontology (Cert, MS, PhD)"
51.0599,"Advanced/Graduate Dentistry and Oral Sciences, Other"
51.0601,Dental Assisting/Assistant
51.0602,Dental Hygiene/Hygienist
51.0603,Dental Laboratory Technology/Technician
51.0699,"Dental Services and Allied Professions, Other"
51.0701,Health/Health Care Administration/Management
51.0702,Hospital and Health Care Facilities Administration/Management
51.0703,Health Unit Coordinator/Ward Clerk
51.0704,Health Unit Manager/Ward Supervisor
51.0705,Medical Office Management/Administration
51.0706,Health Information/Medical Records Administration/Administrator
51.0707,Health Information/Medical Records Technology/Technician
51.0708,Medical Transcription/Transcriptionist
51.0709,Medical Office Computer Specialist/Assistant
51.071,Medical Office Assistant/Specialist
51.0711,Medical/Health Management and Clinical Assistant/Specialist
51.0712,Medical Reception/Receptionist
51.0713,Medical Insurance Coding Specialist/Coder
51.0714,Medical Insurance Specialist/Medical Biller
51.0715,Health/Medical Claims Examiner
51.0716,Medical Administrative/Executive Assistant and Medical Secretary
51.0717,Medical Staff Services Technology/Technician
51.0799,"Health and Medical Administrative Services, Other"
51.0801,Medical/Clinical Assistant
51.0802,Clinical/Medical Laboratory Assistant
51.0803,Occupational Therapist Assistant
51.0805,Pharmacy Technician/Assistant
51.0806,Physical Therapist Assistant
51.0808,Veterinary/Animal Health Technology/Technician/Veterinary Assistant
51.0809,Anesthesiologist Assistant
51.081,Emergency Care Attendant (EMT Ambulance)
51.0811,Pathology/Pathologist Assistant
51.0812,Respiratory Therapy Technician/Assistant
51.0813,Chiropractic Assistant/Technician
51.0899,"Allied Health and Medical Assisting Services, Other"
51.0901,Cardiovascular Technology/Technologist
51.0902,Electrocardiograph Technology/Technician
51.0903,Electroneurodiagnostic/Electroencephalographic Tech/Tech
51.0904,Emergency Medical Technology/Technician (EMT Paramedic)
51.0905,Nuclear Medical Technology/Technologist
51.0906,Perfusion Technology/Perfusionist
51.0907,Medical Radiologic Technology/Science - Radiation Therapist
51.0908,Respiratory Care Therapy/Therapist
51.0909,Surgical Technology/Technologist
51.091,Diagnostic Medical Sonography/Sonographer & Ultrasound Technician
51.0911,Radiologic Technology/Science - Radiographer
51.0912,Physician Assistant
51.0913,Athletic Training/Trainer
51.0914,Gene/Genetic Therapy
51.0915,Cardiopulmonary Technology/Technologist
51.0916,Radiation Protection/Health Physics Technician
51.0999,"Allied Health Diagnostic/Intervention/Treatment Professions, Oth"
51.1001,Blood Bank Technology Specialist
51.1002,Cytotechnology/Cytotechnologist
51.1003,Hematology Technology/Technician
51.1004,Clinical/Medical Laboratory Technician
51.1005,Clinical Laboratory Science/Medical Technology/Technologist
51.1006,Ophthalmic Laboratory Technology/Technician
51.1007,Histologic Technology/Histotechnologist
51.1008,Histologic Technician
51.1009,Phlebotomy/Phlebotomist
51.101,Cytogenetics/Genetics/Clinical Genetics Technology/Technologist
51.1011,Renal/Dialysis Technologist/Technician
51.1099,"Clinical/Medical Laboratory Science and Allied Professions, Other"
51.1101,Pre-Dentistry Studies
51.1102,Pre-Medicine/Pre-Medical Studies
51.1103,Pre-Pharmacy Studies
51.1104,Pre-Veterinary Studies
51.1105,Pre-Nursing Studies
51.1199,"Health/Medical Preparatory Programs, Other"
51.1201,Medicine (MD)
51.1401,"Medical Scientist (MS, PhD)"
51.1501,Substance Abuse/Addiction Counseling
51.1502,Psychiatric/Mental Health Services Technician
51.1503,Clinical/Medical Social Work
51.1504,Community Health Services/Liaison/Counseling
51.1505,Marriage and Family Therapy/Counseling
51.1506,Clinical Pastoral Counseling/Patient Counseling
51.1507,Psychoanalysis and Psychotherapy
51.1508,Mental Health Counseling/Counselor
51.1509,Genetic Counseling/Counselor
51.1599,"Mental and Social Health Services and Allied Professions, Other"
51.1601,"Nursing/Registered Nurse (RN, ASN, BSN, MSN)"
51.1602,"Nursing Administration (MSN, MS, PhD)"
51.1603,Adult Health Nurse/Nursing
51.1604,Nurse Anesthetist
51.1605,Family Practice Nurse/Nurse Practitioner
51.1606,Maternal/Child Health and Neonatal Nurse/Nursing
51.1607,Nurse Midwife/Nursing Midwifery
51.1608,"Nursing Science (MS, PhD)"
51.1609,Pediatric Nurse/Nursing
51.161,Psychiatric/Mental Health Nurse/Nursing
51.1611,Public Health/Community Nurse/Nursing
51.1612,Perioperative/Operating Room and Surgical Nurse/Nursing
51.1613,Licensed Practical/Vocational Nurse Training
51.1614,Nurse/Nursing Assistant/Aide and Patient Care Assistant
51.1616,Clinical Nurse Specialist
51.1617,Critical Care Nursing
51.1618,Occupational and Environmental Health Nursing
51.1699,"Nursing, Other"
51.1701,Optometry (OD)
51.1801,Opticianry/Ophthalmic Dispensing Optician
51.1802,Optometric Technician/Assistant
51.1803,Ophthalmic Technician/Technologist
51.1804,Orthoptics/Orthoptist
51.1899,"Ophthalmic/Optometric Support Svcs and Allied Professions, Other"
51.1901,Osteopathic Medicine/Osteopathy (DO)
51.2001,"Pharmacy (PharmD [USA], PharmD or BS/BPharm [Canada])"
51.2002,"Pharmacy Administration/Policy/Regulatory Affairs (MS, PhD)"
51.2003,"Pharmaceutics and Drug Design (MS, PhD)"
51.2004,"Medicinal and Pharmaceutical Chemistry (MS, PhD)"
51.2005,"Natural Products Chemistry and Pharmacognosy (MS, PhD)"
51.2006,"Clinical and Industrial Drug Development (MS, PhD)"
51.2007,"Pharmacoeconomics/Pharmaceutical Economics (MS, PhD)"
51.2008,"Clinical, Hospital, and Managed Care Pharmacy (MS, PhD)"
51.2009,"Industrial and Physical Pharmacy and Cosmetic Sciences (MS, PhD)"
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other"
51.2101,Podiatric Medicine/Podiatry (DPM)
51.2201,"Public Health, General (MPH, DPH)"
51.2202,Environmental Health
51.2205,Health/Medical  Physics
51.2206,Occupational Health and Industrial Hygiene
51.2207,Public Health Education and Promotion
51.2208,Community Health and Preventive Medicine
51.2209,Maternal and Child Health
51.221,International Public Health/International Health
51.2211,Health Services Administration
51.2299,"Public Health, Other"
51.2301,Art Therapy/Therapist
51.2302,Dance Therapy/Therapist
51.2305,Music Therapy/Therapist
51.2306,Occupational Therapy/Therapist
51.2307,Orthotist/Prosthetist
51.2308,Physical Therapy/Therapist
51.2309,Therapeutic Recreation/Recreational Therapy
51.231,Vocational Rehabilitation Counseling/Counselor
51.2311,Kinesiotherapy/Kinesiotherapist
51.2312,Assistive/Augmentative Technology and Rehabilitation Engineering
51.2399,"Rehabilitation and Therapeutic Professions, Other"
51.2401,Veterinary Medicine (DVM)
51.2501,"Veterinary Sciences/Veterinary Clinical Sci, Gen (Cert,MS,PhD)"
51.2502,"Veterinary Anatomy (Cert, MS, PhD)"
51.2503,"Veterinary Physiology (Cert, MS, PhD)"
51.2504,"Veterinary Microbiology and Immunobiology (Cert, MS, PhD)"
51.2505,"Veterinary Pathology and Pathobiology (Cert, MS, PhD)"
51.2506,"Veterinary Toxicology and Pharmacology (Cert, MS, PhD)"
51.2507,"Large Animal/Food Animal & Equine Surgery/Medicine (Cert,MS,PhD)"
51.2508,"Small/Companion Animal Surgery and Medicine (Cert, MS, PhD)"
51.2509,"Comparative and Laboratory Animal Medicine (Cert, MS, PhD)"
51.251,"Veterinary Preventive Med Epidemiology/Public Hlth (Cert,MS,PhD)"
51.2511,"Veterinary Infectious Diseases (Cert, MS, PhD)"
51.2599,"Veterinary Biomedical and Clinical Sciences, Other (Cert, MS PhD)"
51.2601,Health Aide
51.2602,Home Health Aide/Home Attendant
51.2603,Medication Aide
51.2699,"Health Aides/Attendants/Orderlies, Other"
51.2703,Medical Illustration/Medical Illustrator
51.2706,Medical Informatics
51.3101,Dietetics/Dietitian (RD)
51.3102,Clinical Nutrition/Nutritionist
51.3103,Dietetic Technician (DTR)
51.3104,Dietitian Assistant
51.3199,"Dietetics and Clinical Nutrition Services, Other"
51.3201,Bioethics/Medical Ethics
51.3301,Acupuncture
51.3302,Traditional Chinese/Asian Medicine and Chinese Herbology
51.3303,Naturopathic Medicine/Naturopathy (ND)
51.3304,Homeopathic Medicine/Homeopathy
51.3399,"Alternative and Complementary Medicine and Medical Systems, Other"
51.3401,"Direct Entry Midwifery (LM, CPM)"
51.3499,"Alternative and Complementary Medical Support Services, Other"
51.3501,Massage Therapy/Therapeutic Massage
51.3502,Asian Bodywork Therapy
51.3503,Somatic Bodywork
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other"
51.3601,Movement Therapy and Movement Education
51.3602,Yoga Teacher Training/Yoga Therapy
51.3603,Hypnotherapy/Hypnotherapist
51.3699,"Movement and Mind-Body Therapies and Education, Other"
51.3702,Herbalism/Herbalist
51.3703,Polarity Therapy
51.9999,"Health Professions and Related Clinical Sciences, Other"
52.0101,"Business/Commerce, General"
52.0201,"Business Administration and Management, General"
52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management"
52.0203,Logistics and Materials Management
52.0204,Office Management and Supervision
52.0205,Operations Management and Supervision
52.0206,Non-Profit/Public/Organizational Management
52.0207,Customer Service Management
52.0208,E-Commerce/Electronic Commerce
52.0209,Transportation/Transportation Management
52.0299,"Business Administration, Management and Operations, Other"
52.0301,Accounting
52.0302,Accounting Technology/Technician and Bookkeeping
52.0303,Auditing
52.0304,Accounting and Finance
52.0305,Accounting and Business/Management
52.0399,"Accounting and Related Services, Other"
52.0401,"Administrative Assistant and Secretarial Science, General"
52.0402,Executive Assistant/Executive Secretary
52.0406,Receptionist
52.0407,Business/Office Automation/Technology/Data Entry
52.0408,General Office Occupations and Clerical Services
52.0409,"Parts, Warehousing, and Inventory Management Operations"
52.0411,Customer Service Support/Call Center/Teleservice Operation
52.0499,"Business Operations Support and Secretarial Services, Other"
52.0501,Business/Corporate Communications
52.0601,Business/Managerial Economics
52.0701,Entrepreneurship/Entrepreneurial Studies
52.0703,Small Business Administration/Management
52.0799,"Entrepreneurial and Small Business Operations, Other"
52.0801,"Finance, General"
52.0803,Banking and Financial Support Services
52.0804,Financial Planning and Services
52.0806,International Finance
52.0807,Investments and Securities
52.0808,Public Finance
52.0809,Credit Management
52.0899,"Finance and Financial Management Services, Other"
52.0901,"Hospitality Administration/Management, General"
52.0903,Tourism and Travel Services Management
52.0904,Hotel/Motel Administration/Management
52.0905,Restaurant/Food Services Management
52.0906,Resort Management
52.0999,"Hospitality Administration/Management, Other"
52.1001,"Human Resources Management/Personnel Administration, General"
52.1002,Labor and Industrial Relations
52.1003,Organizational Behavior Studies
52.1004,Labor Studies
52.1005,Human Resources Development
52.1099,"Human Resources Management and Services, Other"
52.1101,International Business/Trade/Commerce
52.1201,"Management Information Systems, General"
52.1206,Information Resources Management/CIO Training
52.1207,Knowledge Management
52.1299,"Management Information Systems and Services, Other"
52.1301,"Management Science, General"
52.1302,Business Statistics
52.1304,Actuarial Science
52.1399,"Management Sciences and Quantitative Methods, Other"
52.1401,"Marketing/Marketing Management, General"
52.1402,Marketing Research
52.1403,International Marketing
52.1499,"Marketing, Other"
52.1501,Real Estate
52.1601,Taxation
52.1701,Insurance
52.1801,"Sales, Distribution, and Marketing Operations, General"
52.1802,Merchandising and Buying Operations
52.1803,Retailing and Retail Operations
52.1804,Selling Skills and Sales Operations
52.1899,"General Merchandising/Sales/Related Marketing Operations, Other"
52.1901,Auctioneering
52.1902,Fashion Merchandising
52.1903,Fashion Modeling
52.1904,Apparel and Accessories Marketing Operations
52.1905,Tourism and Travel Services Marketing Operations
52.1906,Tourism Promotion Operations
52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations
52.1908,Business and Personal/Financial Services Marketing Operations
52.1909,Special Products Marketing Operations
52.191,Hospitality and Recreation Marketing Operations
52.1999,"Specialized Merchandising, Sales, and Marketing Operations, Other"
52.2001,Construction Management
